X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
498490.888833964,125030.973723865,48,F.H. GILLINGHAM & SONS GENERAL STORE,0.18,Food Establishment,Grocery,,16 ELM STREET,WOODSTOCK,WINDSOR,05091,,http://www.gillinghams.com/,https://www.facebook.com/pages/F-H-Gillingham-Sons/143774638973661?ref=sgm,0
498498.964418544,125053.192100323,49,VILLAGE BUTCHER,0.18,Food Establishment,Convenience Store,,18 ELM ST,WOODSTOCK,WINDSOR,05091,8024572756,https://www.villagebutchervt.com/,,0
498862.157510124,125153.111445478,50,CHARLESTON HOUSE,0.189,Food Establishment,B&B,,21 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8024573843,,,0
498490.896340478,125064.304007993,52,PRINCE AND THE PAUPER,0.735,Food Establishment,Restaurant,,24 ELM ST,WOODSTOCK,WINDSOR,05091,,http://www.princeandpauper.com/,https://www.facebook.com/PrinceandthePauper,0
498523.168813307,125019.856436795,55,BENTLEYS RESTAURANT,1.47,Food Establishment,Restaurant,,3 ELM ST,WOODSTOCK,WINDSOR,05091,8024573232,http://www.bentleysrestaurant.com/,,0
498482.702516934,124519.911409554,57,1830 SHIRE TOWN INN THE,0.105,Food Establishment,Restaurant,,31 SOUTH ST,WOODSTOCK,WINDSOR,05091,(802) 457-1830,,,0
498555.444109431,124986.519117754,58,MOUNTAIN CREAMERY,0.4725,Food Establishment,Restaurant,,33 CENTRAL ST,WOODSTOCK,WINDSOR,05091,8024571715,http://www.mountaincreameryvt.com/,,0
499047.771769726,125108.642108047,59,MAC'S WOODSTOCK MARKET,0.72,Food Establishment,Bakery,,37 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8027757707,,,0
499515.884030442,125419.674682968,60,TAFTSVILLE COUNTRY STORE,0.18,Food Establishment,Grocery,,404 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05073,,http://www.taftsville.com/,,0
499096.199346127,125141.965688828,61,VILLAGE INN OF WOODSTOCK,0.735,Food Establishment,B&B,,41 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8029928230,,,0
499136.553144025,125153.070463027,62,CANTERBURY HOUSE BED & BREAKFAST,0.168,Food Establishment,Restaurant,,43 PLEASANT ST,WOODSTOCK,WINDSOR,05091,(802) 457-3077,,,0
496012.333531506,123554.348855272,63,THE JACKSON HOUSE INN,0.4725,Food Establishment,B&B,,43 SENIOR  LN,WOODSTOCK,WINDSOR,05091,8024572065,,,0
499419.028874243,125264.140985372,64,Cumberland Farms,0.26,Food Establishment,Convenience Store,,433 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024579147,http://www.cumberlandfarms.com/,,0
499685.375742552,125819.628345041,67,WORTHY KITCHEN,0.05,Food Establishment,Restaurant,,442 WOODSTOCK RD,WOODSTOCK,WINDSOR,05031,8022990128,,,0
491869.111845363,121836.032172479,68,DEER BROOK INN,0.105,Food Establishment,B&B,,4548 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8026723713,,,0
499572.377839425,125464.111243789,70,WOODSTOCK TERRACE,0.2205,Nursing/Assisted Living,Residential Facility,,456 WOODSTOCK ROAD EAST,WOODSTOCK,WINDSOR,05091,(802) 457-2228,,,0
491739.934171055,121847.300035569,71,WHITE COTTAGE SNACK BAR,1.029,Food Establishment,Restaurant,,462 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024573455,,https://www.facebook.com/pages/White-Cottage-Snack-Bar/115706228485281,0
497342.236146975,118398.638171774,72,KEDRON VALLEY INN,1.0185,Food Establishment,B&B,,4778 SOUTH RD,SOUTH WOODSTOCK,WINDSOR,05071,8024571473,http://www.kedronvalleyinn.com/,,0
498611.94563742,125019.837458502,73,PI BRICK OVEN TRATTORIA,0.315,Food Establishment,Restaurant,,49 CENTRAL STREET,WOODSTOCK,WINDSOR,05091,,,,0
494260.169231411,123022.336417144,74,WOODSTOCK CHEESECAKE COMPANY,0.13,Food Establishment,Bakery,,492 WESTERDALE ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-4594,,,0
502437.149001078,125764.513504792,75,WOODSTOCK SR. UHSD 4,0.0665,School,School,,4961 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-1317,,,0
502437.149001078,125764.513504792,76,WOODSTOCK UNION MIDDLE SCHOOL,0.05256,School,School,,4961 WOODSTOCK ROAD,WOODSTOCK,WINDSOR,05091,(802) 457-1330,,,0
491133.396413634,121125.920846999,77,FARMHOUSE INN AT ROBINSON FARM,0.189,Food Establishment,Lodging,,5250 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8026725433,http://www.farmhouseinnvt.com/,,0
499661.167333784,125830.739635025,78,LINCOLN INN & REST AT THE COVERED BRIDGE,0.6615,Food Establishment,Lodging,,2709 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8022812094,http://www.lincolninn.com/,,0
499193.054392369,125219.724002834,79,HEART ROCK KITCHEN,0.05,Food Establishment,Restaurant,,21710 Maxham Meadow Way STE 101D,WOODSTOCK,WINDSOR,05091,8022991560,,,0
490486.709699261,120660.18462316,81,WOODBRIDGE INN OF WOODSTOCK,0.126,Food Establishment,B&B,,5763 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8023960077,,,0
498700.733233153,125075.370129648,83,THE DAILY CATCH,,Food Establishment,Restaurant,Bread/related products,61 CENTRAL ST,WOODSTOCK,WINDSOR,05091,6177192588,,,0
499314.102122419,125141.939835093,86,ANGKOR WAT,0.126,Food Establishment,Restaurant,,61 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8024579029,,,0
497828.983888246,124675.632519964,87,THE WOODSTOCKER B & B,0.189,Food Establishment,B&B,,61 RIVER ST,WOODSTOCK,WINDSOR,05091,8024573896,,,0
499467.449063599,125241.916763674,88,PIZZA CHEF OF WOODSTOCK,0.525,Food Establishment,Restaurant,,450 WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024571444,http://www.pizzachef.com/,,0
498611.980160131,125186.488893718,89,MAPLEFIELDS AT WOODSTOCK,0.21,Food Establishment,Restaurant,,66 PLEASANT ST,WOODSTOCK,WINDSOR,05091,8025248710,,,0
498603.879646775,125042.059324037,90,MON VERT CAFE,0.1575,Food Establishment,Restaurant,,28 Central  ST,WOODSTOCK,WINDSOR,05091,8024577143,,,0
498741.09017544,125097.582617166,91,MELAZA CARIBBEAN BISTRO,0.8085,Food Establishment,Restaurant,,71 CENTRAL ST,WOODSTOCK,WINDSOR,05037,8023458977,,,0
498773.376350204,125119.796821043,93,WILLIAM WINAND CHOCOLATIER,0.603636177141831,Food Manufacturer,Sweets,,73 CENTRAL ST,WOODSTOCK,WINDSOR,05091,(802) 457-3688,,,0
497748.258606023,124631.218799813,94,HOMESTEAD,0.12075,Nursing/Assisted Living,Residential Facility,,73 RIVER STREET,WOODSTOCK,WINDSOR,05091,(802) 457-1310,,,0
497748.258606023,124631.218799813,95,MERTENS HOUSE,0.0735,Nursing/Assisted Living,Residential Facility,,73 RIVER STREET,WOODSTOCK,WINDSOR,05091,,,,0
496609.942931663,124053.97346847,96,WOODSTOCK FARMERS' MARKET,0.18,Food Establishment,Bakery,,979 W WOODSTOCK RD,WOODSTOCK,WINDSOR,05091,8024573658,http://www.woodstockfarmersmarket.com/,https://www.facebook.com/pages/Woodstock-Farmers-Market/125860250802597,0
497948.160919151,118498.415513817,97,KEDRON SUGAR MAKERS,,Food Manufacturer,Sweets,,P.O. BOX 111,WOODSTOCK,WINDSOR,05091,(802) 4573-015,,,0
496067.635330458,121498.956126094,98,MAPLE CREST FARM,0,Food Manufacturer,Food Processor,,P.O. BOX 733,WOODSTOCK,WINDSOR,05091,(802) 4571-882,,,0
487207.064478965,158029.871249232,100,SWEET SERENITY BED & BREAKFAST,0.063,Food Establishment,Restaurant,,40 RANDOLPH AV,RANDOLPH,ORANGE,05060,(802) 728-9590,,,0
486723.994830565,157419.731218513,101,GIFFORD MEDICAL CENTER,0.273,Food Establishment,Hospital,,44 SOUTH MAIN ST,RANDOLPH,ORANGE,05060,8027282283,,,0
486723.994830565,157419.731218513,102,MENIG EXTENDED CARE,0.1575,Nursing/Assisted Living,Residential Facility,,44 SOUTH MAIN STREET,RANDOLPH,ORANGE,05060,,,,0
486741.212689988,157997.45393422,103,PERFECT PEAR CAFE,0.26,Food Establishment,Restaurant,,48 MAIN STREET,RANDOLPH,ORANGE,05060,(802) 222-5912,http://theperfectpearcafe.com/,,0
487359.797487544,158107.353448153,104,MONTAGUE GOLF CLUB,0.525,Food Establishment,Restaurant,,48 RANDOLPH AVE,RANDOLPH,ORANGE,05060,8022910993,,,0
487263.237259326,158007.541714377,105,GOLF COURSE,0.13,Food Establishment,Restaurant,Bars/Pubs,50 RANDOLPH AV,RANDOLPH,ORANGE,05060,,,,0
487263.237259326,158007.541714377,106,SAAP,1.05,Food Establishment,Restaurant,,50 RANDOLPH AVE,RANDOLPH,ORANGE,05060,8025225262,,,0
487133.839302653,157541.141507347,107,PLEASANT STREET HOME,0.01575,Nursing/Assisted Living,Residential Facility,,59 SOUTH PLEASANT STREET,RANDOLPH,ORANGE,05060,,,,0
488202.584601651,157861.365266738,108,THREE STALLION INN,1.68,Food Establishment,Restaurant,,665 STOCK FARM ROAD,RANDOLPH,ORANGE,05060,(802) 728-5575,http://www.threestallioninn.com,,0
486718.277263728,158575.257504886,109,Cumberland Farms,0.18,Food Establishment,Convenience Store,,7 CENTRAL ST,RANDOLPH,ORANGE,05060,5082701504,http://www.cumberlandfarms.com/,,0
486885.372032172,157797.174439014,110,SHADY MAPLES,0.063,Food Establishment,Restaurant,,8 PROSPECT AV,RANDOLPH,ORANGE,05060,(802) 728-9923,,,0
485998.100693051,159776.699439111,111,LELAK AND TOMASKO BAKERY,0.13,Food Establishment,Bakery,,804 PARTRIDGE HILL RD,RANDOLPH,ORANGE,05060,(802) 728-6657,,,0
487395.751477063,155896.256216585,112,RANDOLPH FARM STAND,0.18,Food Establishment,Grocery,Farmers' Market,839 ROUTE 12 SOUTH,RANDOLPH,ORANGE,05060,,,,0
487395.751477063,155896.256216585,113,CHEFS MARKET,0.05,Food Establishment,Restaurant,,2 Salisbury  ST,RANDOLPH,ORANGE,05060,8027284202,,,0
489957.276869343,160458.385140704,115,RINKERS SNAK SHOP,0.18,Food Establishment,Grocery,,EXIT 4 I89 - 1917 VT ROUTE 66,RANDOLPH,ORANGE,05060,,,,0
511034.45605035,148304.918841258,116,CAFE 232 LLC,0.147,Food Establishment,Restaurant,,232 ROUTE 132,SOUTH STRAFFORD,ORANGE,05070,,,,0
511227.60822854,148227.468224713,117,COBURN'S GENERAL STORE,0.18,Food Establishment,Grocery,,216 VT ROUTE 132,STRAFFORD,ORANGE,05070,,http://www.vaics.org/stores?store=40,,0
511078.09680635,155893.532460439,118,MINDYS MAPLE FARM,,Food Manufacturer,Food Processor,,38 KENDALL RD,STRAFFORD,ORANGE,05072,(802) 7654-219,,,0
506889.417208698,151321.403230813,119,STRAFFORD ORGANIC CREAMERY,,Food Manufacturer,Dairy,Creamery,61 ROCKBOTTOM RD,STRAFFORD,ORANGE,05072,(802) 7654-180,,,0
509822.986218742,151747.293175188,120,STONE SOUP,0.2625,Food Establishment,Restaurant,,7 BROOK RD,STRAFFORD,ORANGE,05072,8027654301,,,0
510801.204377354,148315.646634197,121,NEWTON ELEMENTARY,0.075145,Food Establishment,School,,243 VT ROUTE 132,STRAFFORD,ORANGE,05072,8027654351,,,0
523631.363311397,147693.317478165,122,BAREFOOT GOURMET LTD,0.05,Food Establishment,Home-based Business,,1255 LATHAM RD,THETFORD,ORANGE,05043,8022812130,http://barefoot-gourmet.com/,,0
525045.883026957,145854.124602897,125,ISABELLS CAFE,0.4515,Food Establishment,Restaurant,,3052 ROUTE 5,THETFORD,ORANGE,05074,8023334732,,,0
524997.526299095,145876.164135069,126,WINGS MARKETS,0.72,Food Establishment,Convenience Store,,3073 VT ROUTE 5,THETFORD,ORANGE,05043,8027852163,,https://www.facebook.com/pages/Wings-Supermarkets/141265545914310,0
525009.802506044,149031.635208927,127,HUGGETTS MART,0.18,Food Establishment,Convenience Store,,2930 ROUTE 5,THETFORD,ORANGE,05043,8027852116,,,0
519190.115386154,153712.106731453,128,BAKERS STORE,0.05,Food Establishment,Caterer,,7788 VT ROUTE 113,THETFORD,ORANGE,05058,8027852539,,http://www.facebook.com/pages/Bakers-General-Store/184586938420,0
520977.872817422,147428.879975232,130,CAMP FARNSWORTH,1.575,Food Establishment,Camp,,128 Camp Farnsworth Road,Fairlee,ORANGE,05045,,,,0
521486.513368129,154308.006613802,131,CAMP BILLINGS,0.92925,Food Establishment,Camp,,LAKE FAIRLEE,THETFORD,ORANGE,05672,,,,0
521567.649677475,146630.801754754,133,THETFORD ELEMENTARY,0.11865,Food Establishment,School,,2689 ROUTE 113,THETFORD,ORANGE,05074,8027852426,,,0
521625.802364636,146064.350288217,134,THETFORD ACADEMY,0.11865,Food Establishment,School,,304 ACADEMY RD,THETFORD,ORANGE,05074,8027854805,,,0
530890.511608607,164111.611655294,139,RED KITE CANDY,0,Food Manufacturer,Sweets,,226 INDUSTRIAL DR UNIT B,BRADFORD,ORANGE,05033,8024493400,,,0
518740.860533559,144877.887280203,140,POST AND BEAM BAKERY,0.13,Food Establishment,Home-based Business,,582 ROUTE 132,THETFORD,ORANGE,05075,8027852842,,,0
522916.08064496,184579.183797602,142,VERMONT CAKES SPECIALTY CAKES BY CHRISTINE,0.13,Food Establishment,Bakery,,10 CLARK RD,TOPSHAM,ORANGE,05076,(802) 584-3437,,,0
517329.835320677,176662.06768505,143,WAITS RIVER COUNTRY STORE & DELI,0.18,Food Establishment,Convenience Store,,149 VT ROUTE 25,TOPSHAM,ORANGE,05086,8024399510,http://vaics.org/stores?store=43,,0
515249.027114319,179545.810708628,144,WEST TOPSHAM COUNTRY STORE,0.18,Food Establishment,Grocery,,486 ROUTE 25,TOPSHAM,ORANGE,05076,(802) 439-6400,,,0
519118.980939091,175522.57004814,145,WAITS RIVER VALLEY #36,0.105555,Food Establishment,School,,6 WAITS RIVER VALLEY RD,EAST CORINTH,ORANGE,05076,8024395534,,,0
501677.73585493,161139.853485039,146,COUNTRY CATERING BY LOIS,0.05,Food Establishment,Caterer,,116 HANSON RD,TUNBRIDGE,ORANGE,05077,(802) 889-5679,,,0
500699.146549198,154451.054645209,148,TUNBRIDGE STORE ,0.18,Food Establishment,Convenience Store,,304 VT ROUTE 110,TUNBRIDGE,ORANGE,05077,802-889-5525,,,0
501694.831555341,157062.233268988,149,NORTH TUNBRIDGE GENERAL STORE,0.055,Food Establishment,Caterer,,494 ROUTE 110,TUNBRIDGE,ORANGE,05038,(802) 889-3312,,,0
502024.032407194,157417.866668678,150,TUNBRIDGE CENTRAL SCHOOL,0.05394,Food Establishment,School,,523 VT ROUTE 110,TUNBRIDGE,ORANGE,05077,8028893310,,,0
502569.223342598,159873.51711285,151,WELLSPRING FOOD COMMITTEE,0.05,Food Establishment,Caterer,,693 VT ROUTE 110,TUNBRIDGE,ORANGE,05077,,,,0
510658.863933771,166803.614419217,152,VERSHIRE RIDING SCHOOL,0.34125,Food Establishment,Camp,,336 VERSHIRE RIDING SCHOOL RD,VERSHIRE,ORANGE,05079,,,,0
510148.573426593,164847.304377148,153,MOUNTAIN VIEW OF VERSHIRE,0.042,Nursing/Assisted Living,Residential Facility,,397 MCIVER ROAD,VERSHIRE,ORANGE,05079,(802) 685-2238,,,0
508376.116062898,170766.914786372,155,VERMONT GRAND VIEW FARM,0.063,Food Establishment,B&B,,1638 SCALES HILL RD,WASHINGTON,ORANGE,05675,8026854693,,,0
505331.99003934,178574.771491987,157,ROBERTS COUNTRY STORE,0.05,Food Establishment,Convenience Store,,2980 VT RT 110,WASHINGTON,ORANGE,05679,8022492482,,,0
502611.896689404,173784.293533644,158,WASHINGTON VILLAGE SCHOOL,0.041385,Food Establishment,School,,72 SCHOOL LN,WASHINGTON,ORANGE,05675,802-888-2312,,,0
533138.7986536,184522.736718297,159,BURNHAM MILLS,,Food Manufacturer,Food Processor,,1538 INDUSTRIAL PARK ROAD,WELLS RIVER,ORANGE,05081,,,,0
532785.968634729,184698.751564468,160,P & H TRUCK STOP #451,1.2075,Food Establishment,Convenience Store,,2886 US ROUTE 302,WELLS RIVER,Orange,05081,8024292141,,,0
533566.405459644,182235.95291993,161,GARGOYLE HOUSE,0.063,Food Establishment,Lodging,,3351 WALLACE HILL RD,NEWBURY,ORANGE,05081,8024292341,,,0
519003.460825609,157155.894165918,162,B & B CASH MARKET,0.05,Food Establishment,Caterer,,107 VT ROUTE 113,WEST FAIRLEE,ORANGE,05074,8027852539,,,0
522072.611123475,154454.368344813,163,D & G CATERERS,0.05,Food Establishment,Caterer,,430 VT ROUTE 244,WEST FAIRLEE,ORANGE,05043,,,,0
525955.020618676,164357.086236616,164,COYOTE HILL MOUNTAIN BIKE CAMP,0.105,Food Establishment,Camp,,KIDDERHOOD ROAD,WEST FAIRLEE,ORANGE,05033,,,,0
522577.238142038,154922.716260459,165,ALOHA HIVE,0.97125,Food Establishment,Camp,,LAKE FAIRLEE,WEST FAIRLEE,ORANGE,05045,,,,0
521598.104328638,154586.136921728,166,SUMMER HORIZONS,0.44625,Food Establishment,Camp,,"LAKE FAIRLEE, RT 244",WEST FAIRLEE,ORANGE,05045,,,,0
519190.442568321,156378.679962638,167,WESTSHIRE ELEMENTARY SCHOOL,0.055935,Food Establishment,School,,744 VERMONT 113,WEST FAIRLEE,ORANGE,05083,8023334668,,,0
530353.625359073,176175.814237588,168,FARWELL CAMP,0.86625,Food Establishment,Camp,,HALLS LAKE,WEST NEWBURY,ORANGE,05051,,,,0
516102.355642259,177570.064609713,169,LIMLAW FAMILY MAPLE FARM LLC,0.21,Food Establishment,Restaurant,,246 VT ROUTE 25,TOPSHAM,ORANGE,05086,8024395995,,,0
515249.027114319,179545.810708628,170,GRAMP'S COUNTRY STORE,0.05,Food Establishment,Convenience Store,,486 VT ROUTE 25,TOPSHAM,ORANGE,05040,802-439-5525,,,0
496326.413085358,180373.629692574,171,WILLIAMSTOWN ELEMENTARY SCHOOL,0.137295,Food Establishment,School,,100 BRUSH HILL RD,WILLIAMSTOWN,ORANGE,05679,8024336653,,,0
496958.327915229,179562.20001319,172,LOYAL ORDER OF MOOSE LODGE 1391,2.415,Food Establishment,Restaurant,,110 BUSINESS CENTER RD,WILLIAMSTOWN,ORANGE,05679,8024552014,,,0
494156.957237464,179852.976683069,173,SECOND SPRING,0.1155,Nursing/Assisted Living,Residential Facility,,118 CLARK ROAD,WILLIAMSTOWN,ORANGE,05679,,,,0
489958.541574193,177124.717668532,174,SWEET RETREAT MAPLE SYRUP PDTS,,Food Manufacturer,Food Processor,,229 FROST RD,WILLIAMSTOWN,ORANGE,05679,(802) 4858-525,,,0
496678.48459342,180195.665637513,175,THE PUB,0.231,Food Establishment,Restaurant,,2374 ROUTE 14,WILLIAMSTOWN,ORANGE,05679,8024335000,,http://www.facebook.com/BehindTheScenesCafe,0
452735.75670081,217767.347256634,177,DIVINE DESSERTS OF VT LLC,0.05,Food Establishment,Home-based Business,,278 BRENNAN WOODS DR,WILLIAMSTOWN,ORANGE,05495,8022383916,,https://www.facebook.com/pg/divinedessertsofvt/about/?ref=page_internal,0
